,Other,Recombinants,Delta,BA.1.X,BA.2.X,BA.2.12.X,BA.4.X,BA.5.X,XBB.X,XBB.1.5.X,BA.2.86.X,JN.1.X,KP.1.X,KP.2.X,KP.3.X,LB.1.3.X,LB.1.3.4.X,XEC.X,XEC.9.X,LP.8.X,BA.3.2.X
2021-12-01,0.002002330000000046,0.002203457647058824,0.05881532470588235,0.9369695411764706,1.5000000000000002e-07,0.0,0.0,4.183529411764705e-06,2.3776470588235296e-06,2.085882352941176e-06,0.0,2.723529411764706e-07,0.0,4.529411764705883e-08,2.111764705882353e-07,0.0,0.0,2.0588235294117647e-08,0.0,0.0,0.0
2022-01-01,0.08564628157894733,0.0939941647368421,0.009266969473684212,0.39815497368421054,0.41269343473684217,1.3998947368421054e-05,3.725052631578947e-05,0.00015807157894736842,1.5234736842105264e-05,1.2363157894736843e-05,1.3673684210526316e-06,2.5826315789473683e-06,5.642105263157895e-07,0.0,2.7426315789473684e-06,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,0.1199686890476191,0.19795779619047618,0.00014740333333333332,0.06702633619047618,0.6110978314285714,0.0034345157142857143,0.00010607571428571429,0.00019930523809523807,4.279095238095238e-05,7.240952380952381e-06,6.014285714285714e-07,2.7709523809523813e-06,1.3019047619047618e-06,0.0,7.340952380952382e-06,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,0.012046132380952309,0.03667430476190476,0.04764331380952382,0.0074458128571428545,0.5838398204761904,2.898809523809524e-05,0.2257117242857143,0.0865910842857143,7.4304761904761906e-06,7.294761904761904e-06,9.5e-07,0.0,0.0,1.42e-06,1.7238095238095238e-06,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.013948156060606058,0.04588763818181818,0.032803106666666665,0.0836016112121212,0.11721098030303032,1.901e-05,0.5475869648484849,0.15893169545454547,5.092727272727273e-06,8.336363636363636e-07,0.0,2.6775757575757576e-06,9.651515151515152e-07,0.0,1.2681818181818183e-06,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,0.0038666297500000203,0.00234901575,0.016331687499999994,4.0765e-06,0.004111507249999999,1.309875e-05,0.68183334325,0.29146742675000004,1.32295e-05,6.0055e-06,0.0,1.5857499999999998e-06,1.3e-07,3.5925e-07,1.036e-06,0.0,0.0,8.684999999999999e-07,0.0,0.0,0.0
2022-06-01,0.0001556949999999199,0.000469826,1.0715e-05,0.03278258400000001,0.000360135,1.0827e-05,0.5041379349999999,0.46205797000000004,6.502999999999999e-06,4.015e-06,0.0,0.0,0.0,0.0,9.36e-07,0.0,0.0,2.859e-06,0.0,0.0,0.0
2022-07-01,0.03333890812500002,0.03848305,0.12018582125000002,0.06248199624999999,0.069976208125,0.0,0.29300835375,0.382515445625,2.475e-07,3.356875e-06,0.0,6.5999999999999995e-06,0.0,0.0,0.0,1.25e-08,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.03043022735294113,0.013681289411764705,8.67970588235294e-06,5.924235294117646e-05,0.0014320926470588234,8.83235294117647e-07,0.20998670647058823,0.7443988888235294,1.185e-06,6.741176470588236e-07,0.0,9.941176470588237e-08,7.941176470588235e-09,7.352941176470588e-09,1.6176470588235295e-08,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.0037762650000000256,0.05732480666666667,8.906250000000001e-06,0.040616893333333334,0.010340143333333334,0.0010486225,0.04215959458333334,0.8447152887499999,3.984166666666667e-06,5.47625e-06,0.0,9.166666666666668e-09,0.0,0.0,0.0,9.999999999999999e-09,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.003189704117647086,0.017190923235294114,4.946470588235294e-06,4.653823529411765e-06,0.006170611764705882,0.0005270882352941176,0.028606251470588234,0.9442910426470588,8.446470588235294e-06,5.638529411764706e-06,4.2705882352941177e-07,9.941176470588237e-08,0.0,1.6676470588235294e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0004288066666667377,0.009593110333333332,9.090666666666667e-06,6.796333333333333e-06,5.333466666666667e-05,1.1323333333333333e-06,0.0019260286666666665,0.9879602313333333,1.2052999999999998e-05,1.5646666666666664e-06,0.0,4.453333333333333e-06,2.269666666666667e-06,1.1133333333333334e-07,0.0,0.0,0.0,1.017e-06,0.0,0.0,0.0
2022-12-01,0.0001008966666665719,0.0002964033333333333,0.0,2.815833333333333e-06,0.002943208333333333,0.0,0.009335675000000002,0.9873059250000001,1.1846666666666668e-05,6.25e-08,0.0,2.995833333333333e-06,5.25e-08,9.833333333333334e-08,1.9999999999999997e-08,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.00032376333333326325,0.00632522,3.2999999999999996e-05,8.553333333333335e-06,0.018113215000000002,8.435e-06,0.021888908333333335,0.87506882,0.0006855366666666665,0.07751896833333337,0.0,1.8606666666666666e-05,6.973333333333333e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.00017031727272730183,0.030749503636363636,1.3686363636363636e-05,2.5872727272727273e-06,0.09836283636363637,1.9246363636363637e-05,7.20090909090909e-05,0.2801765381818182,0.20067988727272726,0.38975218,0.0,0.0,0.0,6.363636363636363e-08,0.0,8.909090909090908e-08,0.0,1.0554545454545455e-06,0.0,0.0,0.0
2023-03-01,0.0007876566666666173,0.018242635238095238,4.483333333333333e-06,0.0,0.0050570109523809526,4.6509523809523815e-06,7.722857142857142e-06,0.03660710238095237,0.1649805647619048,0.7743077685714285,0.0,0.0,0.0,4.0428571428571426e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,0.00020518179487180176,0.00022047512820512821,5.228461538461539e-06,0.011023499230769233,0.007365121025641025,1.8369230769230768e-06,6.858461538461537e-06,1.5556410256410256e-05,0.2073115153846154,0.7738446112820513,0.0,1.0999999999999999e-07,5.897435897435897e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.0005100619696969622,0.0037987910606060607,2.7768181818181818e-06,9.062121212121212e-07,0.018852999848484847,1.9645454545454544e-06,6.759090909090909e-06,2.8611818181818182e-05,0.2905948603030303,0.6862020263636364,1.1363636363636364e-08,1.3893939393939397e-07,9.090909090909092e-09,3.9848484848484844e-08,3.8333333333333326e-08,4.393939393939393e-09,0.0,0.0,0.0,0.0,0.0
2023-06-01,0.00014263666666662785,5.4023333333333335e-05,0.0,1.6566666666666665e-06,0.0006774466666666666,0.0,0.0,2.2746666666666667e-05,0.3071660783333333,0.6919250883333333,1.0068333333333333e-05,1.3833333333333334e-07,7.5e-08,0.0,0.0,4.166666666666666e-08,0.0,0.0,0.0,0.0,0.0
2023-07-01,0.0001692666666666049,0.0008447180952380951,3.869047619047619e-06,5.376190476190477e-07,0.15047450666666665,7.754285714285715e-06,2.9004761904761903e-06,1.543952380952381e-05,0.30904636761904763,0.4791930857142857,0.06024140666666668,0.0,0.0,2.1904761904761905e-08,1.2571428571428572e-07,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0.0020316234615384327,0.007617653333333333,0.003200286666666667,4.897179487179486e-06,0.014615553333333335,0.000847993076923077,2.446346153846154e-05,4.740025641025641e-05,0.39684493615384614,0.40920692884615384,0.1655504591025641,7.722307692307692e-06,1.3076923076923076e-08,1.2564102564102564e-08,5.102564102564103e-08,2.435897435897436e-09,0.0,3.7179487179487175e-09,0.0,0.0,0.0
2023-09-01,7.97260526315763e-05,0.009769666447368422,6.447368421052631e-08,2.618421052631579e-08,0.070579895,0.0003585514473684211,9.757526315789474e-05,0.0011782628947368421,0.35054350381578947,0.2074079907894737,0.35994681657894734,3.327881578947368e-05,4.2105263157894737e-08,3.486842105263158e-08,2.6942105263157894e-06,1.8564473684210525e-06,0.0,1.0394736842105262e-08,0.0,4.210526315789474e-09,0.0
2023-10-01,6.269387931036019e-05,0.006842559310344828,5.496551724137931e-07,1.015948275862069e-06,0.052178104741379315,0.0019139195689655169,2.4414137931034484e-05,0.0001710871551724138,0.274943255,0.1352535025,0.5273460036206896,0.0012557931034482758,3.3543103448275867e-07,1.8758620689655173e-06,6.758620689655172e-08,3.9930172413793106e-06,0.0,3.4603448275862075e-07,0.0,4.834482758620689e-07,0.0
2023-11-01,0.001060783913043488,0.037618948695652174,8.704347826086957e-06,6.624782608695652e-06,0.06419081565217391,9.13354347826087e-05,4.767282608695652e-05,0.0008227319565217394,0.11424106086956522,0.12814610630434783,0.6450791389130435,0.008647024130434782,8.420217391304349e-06,4.974565217391304e-06,1.2247826086956522e-06,1.993152173913043e-05,0.0,2.8732608695652174e-06,0.0,1.6278260869565218e-06,0.0
2023-12-01,0.0012899099999999818,0.06693837,0.0,0.0,0.025835109473684212,0.0,0.0,0.0,0.09119414263157895,0.009949701052631578,0.7271382015789474,0.0776545652631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,0.03336126333333332,0.01338667037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5689649896296296,0.38428707666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,0.00047772905660378246,0.015063470754716982,1.2830188679245283e-08,0.0,4.1128301886792455e-06,0.0,0.0,8.886792452830189e-08,0.01765826811320755,0.00047162207547169816,0.4475124996226415,0.5081613011320755,0.008258850943396227,0.0023769437735849056,1.0013207547169812e-06,1.4098679245283018e-05,0.0,0.0,0.0,0.0,0.0
2024-03-01,0.027581290408163192,0.008811596734693877,8.677551020408164e-07,5.469387755102041e-08,0.0036556163265306124,0.0,3.490612244897959e-06,1.171734693877551e-05,2.6291836734693877e-06,1.96469387755102e-06,0.3257983787755102,0.5923377055102041,0.018869186122448978,0.012126354897959183,0.010228419795918367,0.0005682024489795919,2.52469387755102e-06,0.0,0.0,0.0,0.0
2024-04-01,0.0003594662184874362,0.017278056134453785,0.00038889941176470583,7.647058823529412e-09,8.332655462184873e-05,0.0,4.267394957983193e-06,1.3781512605042017e-05,8.054201680672269e-06,3.4270588235294117e-06,0.27328012521008405,0.6220242099159664,0.055218639075630245,0.029649748655462185,0.0001416364705882353,0.0010903599159663865,0.000453590756302521,1.443949579831933e-06,9.599159663865545e-07,0.0,0.0
2024-05-01,0.008534091900000042,0.0249065971,7.242e-07,5.3900000000000006e-08,0.0006380139,2.9e-09,8.0313e-06,1.90599e-05,2.9045999999999997e-06,1.9141e-06,0.2079457189,0.5655585915,0.082395471,0.0620926249,0.024339831899999997,0.0216903653,0.0018622957000000002,8.01e-07,0.0,2.9060000000000002e-06,0.0
2024-06-01,4.777907407409753e-05,0.026099099444444444,4.688888888888889e-07,2.592592592592593e-07,0.0031260199999999998,2.462962962962963e-08,2.0031851851851853e-05,3.905407407407407e-05,4.454814814814814e-06,2.3842592592592593e-06,0.0742374362962963,0.42902220611111114,0.0881058561111111,0.13395484444444444,0.13178219222222223,0.08527456425925926,0.02827510277777778,2.0185185185185187e-07,0.0,8.019629629629628e-06,0.0
2024-07-01,2.2606101694929228e-05,0.017767499576271186,6.300847457627119e-07,2.8059322033898304e-07,0.00048624177966101684,1.2864406779661018e-06,5.116610169491526e-06,1.6215847457627117e-05,1.6312711864406778e-06,5.825423728813559e-07,0.02868087542372881,0.3923487412711864,0.11520371,0.09150102805084745,0.21028059940677965,0.10230583389830508,0.04133814423728814,2.875e-06,2.738983050847458e-07,8.9435593220339e-06,2.6884406779661017e-05
2024-08-01,2.4386160000014912e-05,0.0067252644,6.2512e-07,1.85064e-06,9.824264e-05,1.31088e-06,3.9823200000000005e-06,1.866304e-05,1.99856e-06,2.01952e-06,0.011877623680000001,0.3745849392,0.04913906232,0.07586689488000001,0.2678391772,0.049224939839999995,0.1643371568,0.00011571839999999999,4.84e-07,3.3776e-06,0.0001322828
2024-09-01,2.2086567164194602e-05,0.0002492968656716418,1.3701492537313432e-07,1.1194029850746269e-08,0.0013312944776119402,2.6716417910447763e-08,1.4494029850746267e-06,2.0531492537313432e-05,1.5738805970149253e-06,3.091194029850746e-06,0.004633340447761195,0.28686482388059703,0.028875046567164175,0.05322879567164179,0.2767786062686567,0.05168785119402985,0.2813381234328358,1.66489552238806e-05,0.014916106119402986,1.7707462686567165e-06,2.9387910447761194e-05
