"epiweek2","n","Site","Province","District","GC_per_ml","levels","loglevels","Date","year"
"2021w1",5541,NA,NA,NA,NA,NA,NA,NA,2021
"2021w2",352,NA,NA,NA,NA,NA,NA,NA,2021
"2021w3",185,NA,NA,NA,NA,NA,NA,NA,2021
"2021w4",93,NA,NA,NA,NA,NA,NA,NA,2021
"2021w5",144,NA,NA,NA,NA,NA,NA,NA,2021
"2021w6",213,NA,NA,NA,NA,NA,NA,NA,2021
"2021w7",49,NA,NA,NA,NA,NA,NA,NA,2021
"2021w8",23,NA,NA,NA,NA,NA,NA,NA,2021
"2021w9",34,NA,NA,NA,NA,NA,NA,NA,2021
"2021w10",16,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",47.02,47.02,1.67228262478892,2021-03-09,2021
"2021w10",16,"Borcherds Quarry Wastewater Treatment Works","Western Cape","Cape Town MM",0.6,2.34,0.369215857410143,2021-03-09,2021
"2021w11",9,NA,NA,NA,NA,NA,NA,NA,2021
"2021w12",10,NA,NA,NA,NA,NA,NA,NA,2021
"2021w13",10,NA,NA,NA,NA,NA,NA,NA,2021
"2021w14",3,NA,NA,NA,NA,NA,NA,NA,2021
"2021w15",8,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",3.23,3.23,0.509202522331103,2021-04-12,2021
"2021w15",8,"Borcherds Quarry Wastewater Treatment Works","Western Cape","Cape Town MM",0.77,2.34,0.369215857410143,2021-04-12,2021
"2021w16",9709,NA,NA,NA,NA,NA,NA,NA,2021
"2021w17",72,NA,NA,NA,NA,NA,NA,NA,2021
"2021w18",101,NA,NA,NA,NA,NA,NA,NA,2021
"2021w19",14,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",1.24,2.34,0.369215857410143,2021-05-10,2021
"2021w20",1234,NA,NA,NA,NA,NA,NA,NA,2021
"2021w21",3040,NA,NA,NA,NA,NA,NA,NA,2021
"2021w22",591,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",67.87,67.87,1.83167784919147,2021-05-31,2021
"2021w23",1574,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",223.71,223.71,2.34968539781031,2021-06-07,2021
"2021w23",1574,"Borcherds Quarry Wastewater Treatment Works","Western Cape","Cape Town MM",8.65,8.65,0.937016107464814,2021-06-07,2021
"2021w24",2084,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",807.4,807.4,2.9070887450743,2021-06-14,2021
"2021w25",2883,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",71.95,71.95,1.85703079827262,2021-06-21,2021
"2021w26",3105,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",61.11,61.11,1.78611228371983,2021-06-28,2021
"2021w27",4023,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",80.82,80.82,1.90751884610663,2021-07-05,2021
"2021w28",4083,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",71.23,71.23,1.85266294434457,2021-07-13,2021
"2021w29",4340,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",58.13,58.13,1.76440032295639,2021-07-19,2021
"2021w29",4340,"Borcherds Quarry Wastewater Treatment Works","Western Cape","Cape Town MM",8.33,8.33,0.920645001406788,2021-07-20,2021
"2021w30",5236,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",134.38,134.38,2.12833463675372,2021-07-26,2021
"2021w31",5597,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",172.59,172.59,2.23701562874516,2021-08-02,2021
"2021w32",5086,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",195.22,195.22,2.29052430843669,2021-08-10,2021
"2021w32",5086,"Borcherds Quarry Wastewater Treatment Works","Western Cape","Cape Town MM",79.23,79.23,1.89888965592659,2021-08-10,2021
"2021w33",5590,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",331.88,331.88,2.5209810814193,2021-08-16,2021
"2021w34",4909,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",94.21,94.21,1.97409700379413,2021-08-23,2021
"2021w35",3551,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",93.85,93.85,1.97243427695737,2021-08-31,2021
"2021w36",2450,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",60.46,60.46,1.7814681428418,2021-09-06,2021
"2021w37",1520,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",18.93,18.93,1.2771506139638,2021-09-13,2021
"2021w37",1520,"Borcherds Quarry Wastewater Treatment Works","Western Cape","Cape Town MM",19.53,19.53,1.29070224328785,2021-09-13,2021
"2021w38",931,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",24.29,24.29,1.38542751480513,2021-09-20,2021
"2021w39",823,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",11.07,11.07,1.04414762087872,2021-09-27,2021
"2021w40",468,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",10.19,10.19,1.00817418400643,2021-10-04,2021
"2021w41",387,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM",5.94,5.94,0.773786444981194,2021-10-11,2021
