"epiweek2","n","no_ww_collected","sum_genomes","Date","pcr_type","loglevels","tested","year","week","Country","end"
"2021w1",26826,0,NA,"w","Real-Time",NA,NA,2021,1,"South African SARS-CoV-2 Wastewater Levels",2021-01-09
"2021w2",942,0,NA,"w","Real-Time",NA,NA,2021,2,"South African SARS-CoV-2 Wastewater Levels",2021-01-16
"2021w3",588,0,NA,"w","Real-Time",NA,NA,2021,3,"South African SARS-CoV-2 Wastewater Levels",2021-01-23
"2021w4",222,0,NA,"w","Real-Time",NA,NA,2021,4,"South African SARS-CoV-2 Wastewater Levels",2021-01-30
"2021w5",312,1,2.34,"w","Real-Time",0.369215857410143,-0.3,2021,5,"South African SARS-CoV-2 Wastewater Levels",2021-02-06
"2021w6",352,0,NA,"w","Real-Time",NA,NA,2021,6,"South African SARS-CoV-2 Wastewater Levels",2021-02-13
"2021w7",173,0,NA,"w","Real-Time",NA,NA,2021,7,"South African SARS-CoV-2 Wastewater Levels",2021-02-20
"2021w8",64,5,67.42,"w","Real-Time",1.82878874818495,-0.3,2021,8,"South African SARS-CoV-2 Wastewater Levels",2021-02-27
"2021w9",107,3,33.53,"w","Real-Time",1.52543355342882,-0.3,2021,9,"South African SARS-CoV-2 Wastewater Levels",2021-03-06
"2021w10",72,3,491.78,"w","Real-Time",2.6917708626169,-0.3,2021,10,"South African SARS-CoV-2 Wastewater Levels",2021-03-13
"2021w11",48,2,7.2,"w","Real-Time",0.857332496431269,-0.3,2021,11,"South African SARS-CoV-2 Wastewater Levels",2021-03-20
"2021w12",63,3,10.9,"w","Real-Time",1.03742649794062,-0.3,2021,12,"South African SARS-CoV-2 Wastewater Levels",2021-03-27
"2021w13",78,0,NA,"w","Real-Time",NA,NA,2021,13,"South African SARS-CoV-2 Wastewater Levels",2021-04-03
"2021w14",66,3,6.81,"w","Real-Time",0.833147111912785,-0.3,2021,14,"South African SARS-CoV-2 Wastewater Levels",2021-04-10
"2021w15",66,5,1270.1,"w","Real-Time",3.10383791602561,-0.3,2021,15,"South African SARS-CoV-2 Wastewater Levels",2021-04-17
"2021w16",23330,2,59.54,"w","Real-Time",1.77480883031071,-0.3,2021,16,"South African SARS-CoV-2 Wastewater Levels",2021-04-24
"2021w17",380,3,17.76,"w","Real-Time",1.24944296144258,-0.3,2021,17,"South African SARS-CoV-2 Wastewater Levels",2021-05-01
"2021w18",529,4,26.59,"w","Real-Time",1.42471833733157,-0.3,2021,18,"South African SARS-CoV-2 Wastewater Levels",2021-05-08
"2021w19",218,1,2.34,"w","Real-Time",0.369215857410143,-0.3,2021,19,"South African SARS-CoV-2 Wastewater Levels",2021-05-15
"2021w20",5701,0,NA,"w","Real-Time",NA,NA,2021,20,"South African SARS-CoV-2 Wastewater Levels",2021-05-22
"2021w21",12858,7,112.78,"w","Real-Time",2.05223209025233,-0.3,2021,21,"South African SARS-CoV-2 Wastewater Levels",2021-05-29
"2021w22",4004,11,390.95,"w","Real-Time",2.59212121746588,-0.3,2021,22,"South African SARS-CoV-2 Wastewater Levels",2021-06-05
"2021w23",12342,14,1051.8,"w","Real-Time",3.02193316647744,-0.3,2021,23,"South African SARS-CoV-2 Wastewater Levels",2021-06-12
"2021w24",17857,12,2450.24,"w","Real-Time",3.38920862541384,-0.3,2021,24,"South African SARS-CoV-2 Wastewater Levels",2021-06-19
"2021w25",27843,12,1371.71,"w","Real-Time",3.1372623047292,-0.3,2021,25,"South African SARS-CoV-2 Wastewater Levels",2021-06-26
"2021w26",31855,11,3006.29,"w","Real-Time",3.4780308722339,-0.3,2021,26,"South African SARS-CoV-2 Wastewater Levels",2021-07-03
"2021w27",37322,12,3744.98,"w","Real-Time",3.57344950269962,-0.3,2021,27,"South African SARS-CoV-2 Wastewater Levels",2021-07-10
"2021w28",26731,10,3466.26,"w","Real-Time",3.53986113550725,-0.3,2021,28,"South African SARS-CoV-2 Wastewater Levels",2021-07-17
"2021w29",24056,13,1042.43,"w","Real-Time",3.01804690140654,-0.3,2021,29,"South African SARS-CoV-2 Wastewater Levels",2021-07-24
"2021w30",20670,12,1684.05,"w","Real-Time",3.22635498170148,-0.3,2021,30,"South African SARS-CoV-2 Wastewater Levels",2021-07-31
"2021w31",19316,13,1043.05,"w","Real-Time",3.01830512741371,-0.3,2021,31,"South African SARS-CoV-2 Wastewater Levels",2021-08-07
